#options: 1920x1080 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=11173 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:18.62 aq:16.36 tex:1819327 mv:281630 misc:6171 imb:8160 pmb:0 smb:0 d:- ref:;
in:94 out:95 type:b dur:2 cpbdur:2 q:27.81 aq:26.56 tex:229433 mv:68781 misc:6106 imb:1479 pmb:4416 smb:2265 d:- ref:0 ;
in:96 out:96 type:I dur:2 cpbdur:2 q:25.51 aq:22.40 tex:475538 mv:192923 misc:803 imb:8160 pmb:0 smb:0 d:- ref:;
in:99 out:97 type:P dur:2 cpbdur:2 q:27.90 aq:24.81 tex:429322 mv:71960 misc:2270 imb:3404 pmb:4315 smb:441 d:- ref:0 ;
in:97 out:98 type:B dur:2 cpbdur:2 q:27.90 aq:26.38 tex:288579 mv:73303 misc:5302 imb:1982 pmb:4346 smb:1832 d:- ref:0 ;
in:98 out:99 type:b dur:2 cpbdur:2 q:27.90 aq:27.01 tex:285731 mv:59137 misc:5868 imb:1416 pmb:4145 smb:2599 d:- ref:0 ;
in:103 out:100 type:P dur:2 cpbdur:2 q:28.02 aq:24.68 tex:376211 mv:71760 misc:2557 imb:4359 pmb:3270 smb:531 d:- ref:0 ;
in:101 out:101 type:B dur:2 cpbdur:2 q:27.96 aq:25.75 tex:394440 mv:76388 misc:4716 imb:1879 pmb:4824 smb:1457 d:- ref:0 ;
in:100 out:102 type:b dur:2 cpbdur:2 q:27.93 aq:26.90 tex:161525 mv:52605 misc:6630 imb:1062 pmb:3923 smb:3175 d:- ref:0 ;
in:102 out:103 type:b dur:2 cpbdur:2 q:27.99 aq:27.32 tex:246786 mv:50504 misc:5982 imb:1019 pmb:4049 smb:3092 d:- ref:0 ;
in:106 out:104 type:P dur:2 cpbdur:2 q:28.03 aq:25.10 tex:519247 mv:75952 misc:1833 imb:4094 pmb:3791 smb:275 d:- ref:0 ;
in:104 out:105 type:B dur:2 cpbdur:2 q:28.02 aq:25.70 tex:186402 mv:65070 misc:6328 imb:1274 pmb:4102 smb:2784 d:- ref:0 ;
in:105 out:106 type:b dur:2 cpbdur:2 q:28.03 aq:26.73 tex:106382 mv:50021 misc:7205 imb:617 pmb:3997 smb:3546 d:- ref:0 ;
in:110 out:107 type:P dur:2 cpbdur:2 q:28.09 aq:25.33 tex:385617 mv:71390 misc:2329 imb:4561 pmb:3198 smb:401 d:- ref:0 ;
in:108 out:108 type:B dur:2 cpbdur:2 q:28.06 aq:26.35 tex:354327 mv:75779 misc:4870 imb:1614 pmb:5025 smb:1521 d:- ref:0 ;
in:107 out:109 type:b dur:2 cpbdur:2 q:28.04 aq:27.82 tex:236812 mv:51321 misc:6371 imb:720 pmb:4547 smb:2893 d:- ref:0 ;
in:109 out:110 type:b dur:2 cpbdur:2 q:28.08 aq:26.68 tex:156206 mv:56051 misc:6895 imb:994 pmb:4136 smb:3030 d:- ref:0 ;
in:114 out:111 type:P dur:2 cpbdur:2 q:28.05 aq:25.87 tex:432468 mv:68434 misc:1250 imb:5990 pmb:2058 smb:112 d:- ref:0 ;
in:112 out:112 type:B dur:2 cpbdur:2 q:28.07 aq:25.66 tex:297453 mv:86052 misc:4831 imb:1351 pmb:5582 smb:1227 d:- ref:0 ;
in:111 out:113 type:b dur:2 cpbdur:2 q:28.08 aq:26.99 tex:145681 mv:54600 misc:7055 imb:822 pmb:4280 smb:3058 d:- ref:0 ;
in:113 out:114 type:b dur:2 cpbdur:2 q:28.06 aq:27.05 tex:165155 mv:59889 misc:6692 imb:870 pmb:4429 smb:2861 d:- ref:0 ;
in:117 out:115 type:P dur:2 cpbdur:2 q:28.04 aq:25.12 tex:363021 mv:72639 misc:1324 imb:5536 pmb:2490 smb:134 d:- ref:0 ;
in:115 out:116 type:B dur:2 cpbdur:2 q:28.05 aq:25.51 tex:183662 mv:77423 misc:5947 imb:1663 pmb:4582 smb:1915 d:- ref:0 ;
in:116 out:117 type:b dur:2 cpbdur:2 q:28.04 aq:25.93 tex:98866 mv:53825 misc:7045 imb:1039 pmb:3786 smb:3335 d:- ref:0 ;
in:118 out:118 type:P dur:2 cpbdur:2 q:27.97 aq:24.67 tex:351938 mv:64716 misc:3514 imb:3125 pmb:4074 smb:961 d:- ref:0 ;
in:122 out:119 type:P dur:2 cpbdur:2 q:27.99 aq:24.38 tex:442646 mv:76700 misc:1550 imb:3909 pmb:4081 smb:170 d:- ref:0 ;
in:120 out:120 type:B dur:2 cpbdur:2 q:27.98 aq:25.58 tex:225986 mv:71203 misc:5667 imb:1207 pmb:5235 smb:1718 d:- ref:0 ;
in:119 out:121 type:b dur:2 cpbdur:2 q:27.97 aq:26.72 tex:160778 mv:55651 misc:6507 imb:1075 pmb:4213 smb:2872 d:- ref:0 ;
in:121 out:122 type:b dur:2 cpbdur:2 q:27.98 aq:26.85 tex:120946 mv:42936 misc:7086 imb:732 pmb:3775 smb:3653 d:- ref:0 ;
in:125 out:123 type:P dur:2 cpbdur:2 q:28.04 aq:24.63 tex:291866 mv:64234 misc:3356 imb:2456 pmb:4930 smb:774 d:- ref:0 ;
in:123 out:124 type:B dur:2 cpbdur:2 q:28.01 aq:25.74 tex:100749 mv:40784 misc:7379 imb:517 pmb:3727 smb:3916 d:- ref:0 ;
in:124 out:125 type:b dur:2 cpbdur:2 q:28.02 aq:26.78 tex:61259 mv:28783 misc:7046 imb:395 pmb:2888 smb:4877 d:- ref:0 ;
in:127 out:126 type:P dur:2 cpbdur:2 q:27.92 aq:24.41 tex:326182 mv:63514 misc:3432 imb:2449 pmb:4965 smb:746 d:- ref:0 ;
in:126 out:127 type:b dur:2 cpbdur:2 q:27.98 aq:26.54 tex:106739 mv:36083 misc:7274 imb:825 pmb:3200 smb:4135 d:- ref:0 ;
in:131 out:128 type:P dur:2 cpbdur:2 q:27.90 aq:24.19 tex:447194 mv:74746 misc:1812 imb:3523 pmb:4372 smb:265 d:- ref:0 ;
in:129 out:129 type:B dur:2 cpbdur:2 q:27.91 aq:25.78 tex:331741 mv:73395 misc:5192 imb:1265 pmb:5236 smb:1659 d:- ref:0 ;
in:128 out:130 type:b dur:2 cpbdur:2 q:27.92 aq:27.36 tex:111619 mv:42336 misc:7205 imb:367 pmb:4051 smb:3742 d:- ref:0 ;
in:130 out:131 type:b dur:2 cpbdur:2 q:27.91 aq:27.34 tex:299730 mv:57062 misc:5968 imb:1249 pmb:4582 smb:2329 d:- ref:0 ;
in:135 out:132 type:P dur:2 cpbdur:2 q:27.86 aq:24.23 tex:526811 mv:77549 misc:1608 imb:3935 pmb:3997 smb:228 d:- ref:0 ;
in:133 out:133 type:B dur:2 cpbdur:2 q:27.88 aq:24.88 tex:196849 mv:65852 misc:6291 imb:719 pmb:5384 smb:2057 d:- ref:0 ;
in:132 out:134 type:b dur:2 cpbdur:2 q:27.89 aq:26.12 tex:64038 mv:38877 misc:7605 imb:331 pmb:3582 smb:4247 d:- ref:0 ;
